0	2022-12-22 09:15:44Z	Sorry, planned but not yet available
1	2022-12-22 04:25:45Z	Linux History (in a nutshell)
2	2022-12-23 19:11:54Z	RHEL 8.7 Installation Notes
3	2022-12-23 19:20:03Z	Shell Redirection
4	2022-12-23 19:49:36Z	Bash - Shell Operation
